timestamp,cpu_usage,assigned_mem
1401900,5889146.264270258,1919650.0
1402200,5844225.226083239,1919776.0
1402500,5819823.934608271,1920368.0
1402800,5841235.610485793,1919992.0
1403100,5779397.103559895,1920386.0
1403400,5682361.345216098,1921136.0
1403700,5721328.388171912,1917820.0
1404000,5632424.400450818,1917196.0
1404300,5634479.9550552815,1917092.0
1404600,5603043.402595436,1918242.0
1404900,5562378.500511453,1919186.0
1405200,5518841.4814662505,1920050.0
1405500,5711097.819317802,1920082.0
1405800,5643892.907391794,1921060.0
1406100,5605223.277614263,1921080.0
1406400,5613801.8226717375,1921612.0
1406700,5629219.4735825965,1920120.0
1407000,5550150.601862291,1918202.0
1407300,5622054.7004503505,1917712.0
1407600,5490605.044314996,1916252.0
1407900,5485253.799731317,1915622.0
1408200,5513829.678821877,1915174.0
1408500,5487422.002546559,1915576.0
1408800,5417604.190518736,1915746.0
1409100,5626536.054450873,1914302.0
1409400,5565577.172892252,1916504.0
1409700,5537827.097380324,1917660.0
1410000,5570913.363516135,1917220.0
1410300,5558483.372155229,1913646.0
1410600,5429794.5363318985,1911816.0
1410900,5464734.123317469,1909400.0
1411200,5371686.698818376,1911314.0
1411500,5386957.698437396,1913066.0
1411800,5387699.326228468,1912320.0
1412100,5340008.591736583,1911992.0
1412400,5307743.829502814,1910672.0
1412700,5522213.8384378385,1912226.0
1413000,5415920.722169082,1912314.0
1413300,5438601.589686156,1911250.0
1413600,5512739.948135008,1913266.0
1413900,5557505.546342269,1913862.0
1414200,5539727.485867616,1918154.0
1414500,5603265.648629341,1923838.0
1414800,5441368.755320553,1925302.0
1415100,5497685.630189355,1927790.0
1415400,5590552.874900986,1930364.0
1415700,5498249.881713427,1933080.0
1416000,5522082.94319095,1934392.0
1416300,5608365.312077497,1935232.0
1416600,5409279.518858966,1932548.0
1416900,5427576.009090606,1934654.0
1417200,5474781.306231268,1933350.0
1417500,5452586.551737328,1931960.0
1417800,5469161.4084810605,1931960.0
1418100,5654661.704427048,1933152.0
1418400,5517980.631451686,1936656.0
1418700,5609075.315880123,1934710.0
1419000,5595926.3728073165,1932968.0
1419300,5463053.704131924,1934776.0
1419600,5370888.345227394,1933720.0
1419900,5579473.262191079,1934704.0
1420200,5572687.5607948,1936876.0
1420500,5535253.151063588,1935786.0
1420800,5580156.952815455,1937898.0
1421100,5545127.330851905,1937788.0
1421400,5450816.760255143,1937348.0
1421700,5488822.992516484,1935872.0
1422000,5407335.418036048,1935504.0
1422300,5421334.421609489,1936940.0
1422600,5453717.789191934,1935888.0
1422900,5419425.974495836,1938306.0
1423200,5384034.513147079,1938638.0
1423500,5613947.742084,1938244.0
1423800,5482538.879534936,1940208.0
1424100,5464374.28874295,1936272.0
1424400,5467141.788511179,1936592.0
1424700,5477609.43952876,1936182.0
1425000,5387254.500379361,1937508.0
1425300,5411549.563901579,1934854.0
1425600,5327387.810098278,1933884.0
1425900,5368816.275408828,1929952.0
1426200,5424295.459702322,1930526.0
1426500,5548001.269389818,1931998.0
1426800,5500734.042286551,1936142.0
1427100,5644269.133677366,1942924.0
1427400,5405358.794943024,1950182.0
1427700,5393791.202707158,1953434.0
1428000,5394512.0451462595,1953160.0
1428300,5422942.429091049,1952078.0
1428600,5394789.992754608,1947554.0
1428900,5476304.5225338,1946780.0
1429200,5401853.587778562,1947876.0
1429500,5432399.918696087,1949478.0
1429800,5771690.7142042285,1951772.0
1430100,5475678.555356393,1956052.0
1430400,5404694.044322369,1956722.0
1430700,5697993.190266683,1957338.0
1431000,5539712.192452306,1957168.0
1431300,5542028.091864703,1958232.0
1431600,5525277.431316157,1960210.0
1431900,5480531.277984464,1956576.0
1432200,5413952.895293432,1953458.0
1432500,5473117.566380381,1952552.0
1432800,5418261.4208176825,1952232.0
1433100,5474340.30342622,1950956.0
1433400,5475265.544403112,1950642.0
1433700,5416925.307506383,1952170.0
1434000,5352906.502399003,1953444.0
1434300,5555591.990787282,1954246.0
1434600,5455205.119200864,1955294.0
1434900,5442095.548579842,1953172.0
1435200,5496033.141460695,1954224.0
1435500,5539679.035180768,1954514.0
1435800,5489997.032856876,1951674.0
1436100,5589318.448154168,1952504.0
1436400,5522202.593880022,1952822.0
1436700,5533733.567109188,1952514.0
1437000,5616984.374593951,1951164.0
1437300,5569281.716505507,1952316.0
1437600,5470917.109708218,1953882.0
1437900,5630563.674754351,1953768.0
1438200,5529895.981050754,1956310.0
